country,region,income,gdp,population,msw,e_waste,medical,hazard,plastic,metal,glass
Algeria,MEA,Upper Middle,11826.1650390625,40606052,0.30484963177410107,0.006205971464549176,0.0007388061267320447,0.008126867394052493,16.9,2.8,1.2
Ecuador,LCN,Upper Middle,11896.376953125,16144368,0.328115113737121,0.004521700694632333,0.0006994389622436753,0.012004929520932624,11.44,1.53,3.01
"Egypt, Arab Rep.",MEA,Lower Middle,10301.107421875,87813256,0.23914384862349256,0.005659737750755991,0.0003222748055259447,0.004327364879853675,13.0,2.0,4.0
Eritrea,SSF,Low,1714.5523681640625,4474690,0.16245982850208618,0.0008492208398794106,,,,,
Spain,ECS,High,40985.55859375,47076780,0.47600001529416414,0.02554543874920927,0.0635206146214758,0.0633968168596068,9.0,3.0,8.0
Estonia,ECS,High,36956.28515625,1326590,0.3690000065958586,0.025864811283064098,1.3192900594757988,7.847429122788503,18.6,2.6,8.3
Ethiopia,SSF,Low,1779.083984375,99873032,0.0654109206377153,0.0004906229341270023,,,2.3,1.2,0.8
Finland,ECS,High,48814.30859375,5520314,0.566000004709877,0.03857642880459336,0.18236516980736966,0.3620614696917603,1.45,1.7,9.24
Fiji,EAS,Upper Middle,10787.685546875,867086,0.2184207725646591,0.005305125443150968,0.00036462357828404566,,7.5,1.9,4.1
France,ECS,High,46110.18359375,67059888,0.5480000205189726,0.03308508358976084,0.07257964701641016,0.16080260975085434,9.0,3.0,10.0
Faeroe Islands,ECS,High,44402.87890625,48842,1.2489251054420376,,,,,,
"Micronesia, Fed. Sts.",EAS,Lower Middle,3440.064208984375,104937,0.24814479163688688,0.0019059054480307233,0.0007001343663340862,,26.17,16.73,7.07
Gabon,SSF,Upper Middle,18514.65234375,1086137,0.21921940786475372,0.01288971833203362,,,,,
United Kingdom,ECS,High,46290.12109375,66460344,0.4630000109539006,0.053928790979474915,0.06346950295652999,0.08659687346788335,20.2,3.5,2.2
Georgia,ECS,Lower Middle,12605.1396484375,3717100,0.21522154367652202,0.005649565521508703,,,3.0,5.0,3.0
Ghana,SSF,Lower Middle,3092.596923828125,21542008,0.1642500076246374,0.0018104161877574272,,,4.0,1.0,0.0
Gibraltar,ECS,High,43711.80078125,33623,0.5042381703000922,0.0059911370193022635,,1.754603693900009,15.86,4.37,4.42
Guinea,SSF,Low,1622.77685546875,8132552,0.07339774771805947,0.0009837010571835262,,,4.0,1.0,1.0
"Gambia, The",SSF,Low,2180.855712890625,1311349,0.14751263012363605,0.0016776617056176502,,,,2.1,1.9
Guinea-Bissau,SSF,Low,1800.068603515625,1770526,0.16351863796408525,0.0005648039057319689,,,,,
Equatorial Guinea,SSF,Upper Middle,24827.072265625,1221490,0.16245983184471424,,,,,,
