family,trunk,leaves,total_height
Fabaceae,8.250478011472211,7.203632887189297,15.450286806883362
Urticaceae,9.109798270893315,4.146397694524502,13.25129682997117
Salicaceae,6.042414860681126,4.763157894736838,10.805263157894744
Annonaceae,7.748108108108122,5.525405405405405,13.270810810810813
Boraginaceae,10.99204545454545,4.3278409090909085,15.323295454545452
